model,bits,granularity,seed,exception,d_sink_ppl,d_sink_total_nats,d_sink_non_sink_nats,d_sink_at_sink_nats,contamination_share,n_sink_positions,n_total_positions
gated_1b_baseline,4,per_tensor,0,position_0,1740943.7482428704,1.4059774901571807,1.4059774901571807,,1.0,0,255
gated_1b_baseline,4,per_tensor,1,position_0,3429861.643289662,2.4992808260302084,2.4992808260302084,,1.0,0,255
gated_1b_baseline,4,per_tensor,2,position_0,2399822.8741892157,2.1251730801231545,2.1251730801231545,,1.0,0,255
gated_1b_baseline,4,per_tensor,3,position_0,5020805.976404348,3.012997786017756,3.012997786017756,,1.0,0,255
gated_1b_baseline,4,per_tensor,4,position_0,3085188.8869612566,1.9894452031074632,1.9894452031074632,,1.0,0,255
gated_1b_baseline,4,per_token,0,position_0,1250.773001093818,0.3155407946465498,0.3155407946465498,,1.0,0,255
gated_1b_baseline,4,per_token,1,position_0,1250.773001093818,0.3155407946465498,0.3155407946465498,,1.0,0,255
gated_1b_baseline,4,per_token,2,position_0,1250.773001093818,0.3155407946465498,0.3155407946465498,,1.0,0,255
gated_1b_baseline,4,per_token,3,position_0,1250.773001093818,0.3155407946465498,0.3155407946465498,,1.0,0,255
gated_1b_baseline,4,per_token,4,position_0,1250.773001093818,0.3155407946465498,0.3155407946465498,,1.0,0,255
gated_1b_baseline,6,per_tensor,0,position_0,1014.7130965907658,0.8161290399577465,0.8161290399577465,,1.0,0,255
gated_1b_baseline,6,per_tensor,1,position_0,1120.4193787145346,0.9350555274653809,0.9350555274653809,,1.0,0,255
gated_1b_baseline,6,per_tensor,2,position_0,2375.8839583673416,1.20961506762342,1.20961506762342,,1.0,0,255
gated_1b_baseline,6,per_tensor,3,position_0,700.163000214906,0.8002468270800138,0.8002468270800138,,1.0,0,255
gated_1b_baseline,6,per_tensor,4,position_0,1166.6208864839264,0.8295811401100313,0.8295811401100313,,1.0,0,255
gated_1b_baseline,6,per_token,0,position_0,0.10974010507669618,0.005963985879076539,0.005963985879076539,,1.0,0,255
gated_1b_baseline,6,per_token,1,position_0,0.10974010507669618,0.005963985879076539,0.005963985879076539,,1.0,0,255
gated_1b_baseline,6,per_token,2,position_0,0.10974010507669618,0.005963985879076539,0.005963985879076539,,1.0,0,255
gated_1b_baseline,6,per_token,3,position_0,0.10974010507669618,0.005963985879076539,0.005963985879076539,,1.0,0,255
gated_1b_baseline,6,per_token,4,position_0,0.10974010507669618,0.005963985879076539,0.005963985879076539,,1.0,0,255
gated_1b_baseline,8,per_tensor,0,position_0,15.519980061280792,0.6450069909143741,0.6450069909143741,,1.0,0,255
gated_1b_baseline,8,per_tensor,1,position_0,14.8051422643484,0.6228672658935399,0.6228672658935399,,1.0,0,255
gated_1b_baseline,8,per_tensor,2,position_0,17.98499454291823,0.7095168459405938,0.7095168459405938,,1.0,0,255
gated_1b_baseline,8,per_tensor,3,position_0,14.742987026816865,0.6258331421194314,0.6258331421194314,,1.0,0,255
gated_1b_baseline,8,per_tensor,4,position_0,17.025959931880628,0.6884557981236763,0.6884557981236763,,1.0,0,255
gated_1b_baseline,8,per_token,0,position_0,0.3084985251620562,0.02030658339476199,0.02030658339476199,,1.0,0,255
gated_1b_baseline,8,per_token,1,position_0,0.3084985251620562,0.02030658339476199,0.02030658339476199,,1.0,0,255
gated_1b_baseline,8,per_token,2,position_0,0.3084985251620562,0.02030658339476199,0.02030658339476199,,1.0,0,255
gated_1b_baseline,8,per_token,3,position_0,0.3084985251620562,0.02030658339476199,0.02030658339476199,,1.0,0,255
gated_1b_baseline,8,per_token,4,position_0,0.3084985251620562,0.02030658339476199,0.02030658339476199,,1.0,0,255
gated_1b_elementwise,4,per_tensor,0,position_0,312306.5763772942,1.2754499482045727,1.2754499482045727,,1.0,0,255
gated_1b_elementwise,4,per_tensor,1,position_0,637542.4743205206,1.7629510730333795,1.7629510730333795,,1.0,0,255
gated_1b_elementwise,4,per_tensor,2,position_0,1614898.598041792,2.049449456280712,2.049449456280712,,1.0,0,255
gated_1b_elementwise,4,per_tensor,3,position_0,1817633.2334974008,2.4829855697777337,2.4829855697777337,,1.0,0,255
gated_1b_elementwise,4,per_tensor,4,position_0,459850.0827226646,1.491940385331036,1.491940385331036,,1.0,0,255
gated_1b_elementwise,4,per_token,0,position_0,114.78390544382637,0.006219921717601551,0.006219921717601551,,1.0,0,255
